"ain","address","useType","taxStatus","yearBuilt","beds","baths","bldg","lot","assessed","lastBuyRec","lastBuyPrice","hasFcHist"
"8448-057-031","2072 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1952","4667","664870","07/02/2009","510005","False"
"8448-057-032","2076 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1952","4494","394030","02/15/1995","230000","False"
"8448-057-033","2080 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","2","3","1586","4050","696663","01/04/2005","490004","False"
"8448-057-034","2084 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1952","4825","538079","11/21/2011","420000","False"
"8448-057-035","2088 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1952","4780","459189","10/07/1992","255002","False"
"8448-057-036","2092 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1856","5194","718396","05/22/2018","619006","True"
"8448-057-037","2098 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1952","6816","728204","10/10/2018","640006","False"
"8448-057-038","218 CALLE MORENO, SAN DIMAS CA 91773-3968","Single Family Residence","CURRENT","1996","3","2","1930","4291","350133","08/01/1997","215000","False"
"8448-057-039","214 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,"4288","0",,,"False"
"8448-057-040","210 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-041","206 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-042","202 CALLE MORENO, SAN DIMAS CA 91773-3968","Single Family Residence","CURRENT","1996","4","3","2140","11125","595709","08/17/1999","380000","False"
"8448-057-043","201 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-044",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-045","209 CALLE MORENO, SAN DIMAS  CA 91776-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-046","215 CALLE MORENO, SAN DIMAS  CA 91776-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-047","219 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1996","3","2","1921","4023","787218","05/25/2017","665006","False"
"8448-057-048","223 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-049","227 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-050","231 CALLE MORENO, SAN DIMAS  CA 91773-0000","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-051","303 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","2","1952","5397","676447","03/03/2009","515005","False"
"8448-057-052","307 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","3963","785805","01/28/2005","560000","False"
"8448-057-053","319 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","3905","394025","11/23/1994","230000","False"
"8448-057-054","323 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","4251","728184",,,"False"
"8448-057-055","329 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","4639","396542",,,"False"
"8448-057-056","333 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","4188","722220","03/29/2013","575000","False"
"8448-057-057","345 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","6122","458778","11/01/1994","250000","False"
"8448-057-058","349 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-059","356 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-060","352 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","4726","419089","01/21/1999","262500","False"
"8448-057-061","348 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","3867","500076","06/27/2000","319000","False"
"8448-057-062","344 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","5128","537916",,,"False"
"8448-057-063","340 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","6659","575944","02/24/1999","280000","False"
"8448-057-064","336 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","2","3","1586","4173","540938","03/10/2016","448004","False"
"8448-057-065","332 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","5382","362128",,,"False"
"8448-057-066","328 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","4454","574646","03/26/2003","389000","False"
"8448-057-067","324 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","DELINQUENT","1992","3","3","1952","4406","850138","04/01/2021","770007","False"
"8448-057-068","320 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","5068","443641","09/23/1999","283000","False"
"8448-057-069","316 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","4622","561353","10/03/2002","380000","False"
"8448-057-070","312 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1856","4208","539190",,,"False"
"8448-057-071","308 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","6697","416849",,,"False"
"8448-057-072","304 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","5133","411154","05/03/1995","240002","False"
"8448-057-073",",","Vacant Land","CURRENT",,,,,"39733","9",,,"False"
"8448-057-074",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-075",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-076",",","Vacant Land","CURRENT",,,,,"399","9",,,"False"
"8448-057-077",",","Vacant Land","CURRENT",,,,,"1042","9",,,"False"
"8448-057-078",",","Vacant Land","CURRENT",,,,,"3182","9",,,"False"
"8448-057-079",",","Vacant Land","CURRENT",,,,,"1346","9",,,"False"
"8448-057-080",",","Vacant Land","CURRENT",,,,,"1607","9",,,"False"
"8448-057-081",",","Vacant Land","CURRENT",,,,,"2166","9",,,"False"
"8448-057-082",",","Vacant Land","CURRENT",,,,,"692","9",,,"False"
"8448-057-083",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-084",",","Vacant Land","CURRENT",,,,,"983","9",,,"False"
"8448-057-085",",","Vacant Land","CURRENT",,,,,"618","9",,,"False"
"8448-057-086",",","Vacant Land","CURRENT",,,,,"598","9",,,"False"
"8448-057-087",",","Vacant Land","CURRENT",,,,,"377","9",,,"False"
"8448-057-088",",","Vacant Land","CURRENT",,,,,"1006","9",,,"False"
"8448-057-089",",","Vacant Land","CURRENT",,,,,"1337","9",,,"False"
"8448-057-090",",","Vacant Land","CURRENT",,,,,"3956","9",,,"False"
"8448-057-091",",","Vacant Land","CURRENT",,,,,"3263","9",,,"False"
"8448-057-092",",","Vacant Land","CURRENT",,,,,"2233","9",,,"False"
"8448-057-093",",","Vacant Land","CURRENT",,,,,"4140","9",,,"False"
"8448-057-094",",","Vacant Land","CURRENT",,,,,"2733","9",,,"False"
"8448-057-095",",","Vacant Land","CURRENT",,,,,"3679","9",,,"False"
"8448-057-096",",","Vacant Land","CURRENT",,,,,"610","9",,,"False"
"8448-057-097",",","Vacant Land","CURRENT",,,,,"398","9",,,"False"
"8448-057-098",",","Vacant Land","CURRENT",,,,,"15897","9",,,"False"
"8448-057-099",",","Vacant Land","CURRENT",,,,,"9887","9",,,"False"
"8448-057-100",",","Vacant Land","CURRENT",,,,,"8760","9",,,"False"
"8448-057-101",",","Vacant Land","CURRENT",,,,,"12152","9",,,"False"
"8448-057-102",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-103",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-104",",","Vacant Land","CURRENT",,,,,"51246","5",,,"False"
"8448-057-105","349 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","1952","10252","682135","06/08/2010","544500","False"
"8448-057-106","356 CALLE MORENO, SAN DIMAS CA 91773-3991","Single Family Residence","CURRENT","1992","3","3","2048","6786","491810","03/05/2013","575005","False"
"8448-057-107",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-108",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-109",",","Multi-Family Residence","CURRENT",,,,,,"0","09/21/1994","260000","False"
"8448-057-110","2081 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1856","4496","605637","06/21/2010","460004","False"
"8448-057-111","2085 PASEO AZUL, SAN DIMAS CA 91773-3990","Single Family Residence","CURRENT","1991","3","3","1952","4451","921904","04/07/2021","835008","False"
"8448-057-112",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-113","2079 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1921","3867","539429","09/25/2001","358003","False"
"8448-057-114",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-115",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-116",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-117",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-118",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-119",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-120",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-121","2059 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1996","3","2","2022","4468","720741","12/22/2003","497004","False"
"8448-057-122",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-123",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-124",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-125",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-126",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-127",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-128",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-129","206 CALLE MORENO, SAN DIMAS CA 91773-3968","Single Family Residence","CURRENT","1995","3","3","2038","3486","731460","08/30/2013","585005","False"
"8448-057-130",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-131",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-132",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-133","215 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","3","3","1957","3994","431066","08/16/1996","260000","False"
"8448-057-134",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-135",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-136",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-137",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-138",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-139",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-140",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-057-141",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-142",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-143",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-144",",","Vacant Land","CURRENT",,,,,"70771","2",,,"False"
"8448-057-145",",","Vacant Land","CURRENT",,,,,"290","9",,,"False"
"8448-057-146",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-057-147","2083 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1921","3790","1082429","03/23/2022","1000010","False"
"8448-057-148","2075 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1848","5214","932945","12/16/2020","845008","False"
"8448-057-149","2071 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1848","4973","465940","05/24/1996","260000","False"
"8448-057-150","2067 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","4","3","2022","4323","786478","11/26/2013","629000","False"
"8448-057-151","2063 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1921","3751","456531","03/01/1996","266502","False"
"8448-057-152","2054 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1921","3974","718956","03/19/2014","575005","False"
"8448-057-153","2068 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","3","3","1848","4016","628015","08/29/2012","500000","False"
"8448-057-154","2072 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","4","3","2022","5052","1003604","08/30/2005","720007","False"
"8448-057-155","2076 PASEO AMBAR, SAN DIMAS CA 91773-3977","Single Family Residence","CURRENT","1995","4","3","2022","4259","778374",,,"False"
"8448-057-156","214 CALLE MORENO, SAN DIMAS CA 91773-3968","Single Family Residence","CURRENT","1995","3","3","1930","3788","649707","12/15/2014","530000","False"
"8448-057-157","210 CALLE MORENO, SAN DIMAS CA 91773-3968","Single Family Residence","CURRENT","1995","3","3","1930","3470","411733","03/15/1999","257500","False"
"8448-057-158","201 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","3","3","1921","3565","768971","01/07/2014","615000","False"
"8448-057-159","205 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","4","3","2022","4111","870100","06/24/2020","780007","False"
"8448-057-160","209 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","3","3","1921","4176","472202",,,"False"
"8448-057-161","223 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","4","3","2022","4856","784849","09/17/2015","650006","True"
"8448-057-162","227 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","4","3","2022","5245","802163","01/11/2019","705007","False"
"8448-057-163","231 CALLE MORENO, SAN DIMAS CA 91773-3970","Single Family Residence","CURRENT","1995","4","3","2022","6338","672989","10/29/2010","515005","False"
"8448-049-001",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-002",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-003","2346 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","4","3","1703","9433","740433","08/04/1988","181500","False"
"8448-049-004","2340 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","4","3","1728","9531","732477","04/23/2020","650000","False"
"8448-049-005","2334 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","3","3","1649","7331","548841","05/12/2011","420000","False"
"8448-049-006","2328 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","4","3","1703","7654","437365","04/20/2000","279002","False"
"8448-049-007","2322 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","3","3","1548","6828","321202","08/29/1988","165000","False"
"8448-049-008","2316 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","4","3","1703","7294","410896",,,"False"
"8448-049-009","2310 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","3","3","1548","6165","669069","07/24/2020","606006","False"
"8448-049-010","2304 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","3","3","1548","10938","833470","01/05/2022","770007","False"
"8448-049-011","2302 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1767","5279","404199","04/26/2001","263002","False"
"8448-049-012","2308 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","2","2","1404","5108","539805","07/09/2009","410000","False"
"8448-049-013",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-014",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-015",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-016",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-017","2338 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1767","4031","719556","07/13/2017","620000","False"
"8448-049-018","2344 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1767","3996","928555","05/19/2023","875008","False"
"8448-049-019","2350 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1620","3935","380908","12/15/1999","239002","False"
"8448-049-020","2356 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1499","5919","517031","01/05/2017","518500","True"
"8448-049-021","182 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","2","2","1404","5783","391903","06/19/2000","255000","False"
"8448-049-022","176 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","4975","892500","03/24/2025","875000","False"
"8448-049-023","170 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","5594","902746","02/15/2022","834008","False"
"8448-049-024","164 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","4848","352419","05/09/1996","208000","False"
"8448-049-025","158 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1620","5271","360902","06/01/1999","232502","False"
"8448-049-026","152 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","5337","965698","07/08/2022","910009","False"
"8448-049-027","146 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1620","5188","852954","01/27/2022","788007","False"
"8448-049-028","140 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1987","3","3","1548","5261","784762","11/02/2021","725007","False"
"8448-049-029","134 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1499","5229","358053","12/17/1993","186000","True"
"8448-049-030",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-031",",","Vacant Land","CURRENT",,,,,,"0",,,"False"
"8448-049-032","116 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","4511","370953","12/17/1998","232000","True"
"8448-049-033","110 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1499","4429","575162","11/26/2013","460004","False"
"8448-049-034","104 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1499","9632","815419","03/07/2006","585005","False"
"8448-049-035","105 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1499","12330","396278","08/27/2001","263000","False"
"8448-049-036","111 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1499","5551","641611","11/10/2016","542000","False"
"8448-049-037","117 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","5993","532211","09/05/2003","367003","False"
"8448-049-038","123 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1767","7143","368773","08/15/1996","222002","False"
"8448-049-039","129 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1620","7049","307461","12/30/1987","157501","False"
"8448-049-040","135 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1499","6883","662894","09/09/2015","549005","False"
"8448-049-041","141 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1620","6371","571490","04/04/2013","455004","False"
"8448-049-042","147 CALLE RENATA, SAN DIMAS CA 91773-3956","Single Family Residence","CURRENT","1988","3","3","1620","9776","876767","02/08/2022","810008","False"
"8448-049-043","168 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","2","2","1404","10883","276132","11/25/1987","140500","False"
"8448-049-044","162 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1499","6055","290692","10/04/1996","173000","False"
"8448-049-045","156 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1620","5520","323026",,,"False"
"8448-049-046","150 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1620","5402","581519","01/06/2004","401004","False"
"8448-049-047","144 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1767","4779","877200","02/06/2025","860000","False"
"8448-049-048","138 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1767","4360","368606","02/24/1999","235002","False"
"8448-049-049","132 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1620","4041","319564","02/17/1988","164001","False"
"8448-049-050","126 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1620","4924","549611","12/01/2011","429004","False"
"8448-049-051","120 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1767","4515","404444","12/06/1999","258000","True"
"8448-049-052","114 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","3","3","1767","5060","516173","07/08/2010","395003","False"
"8448-049-053","108 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","2","2","1404","5491","554746","09/07/2006","650000","False"
"8448-049-054","102 CALLE CANDIDA, SAN DIMAS CA 91773-3955","Single Family Residence","CURRENT","1988","4","3","3582","8229","621371","06/17/1998","190000","True"
"8448-049-055",",","Single Family Residence","CURRENT",,,,,,"0",,,"False"
"8448-049-056","2358 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","2","2","1404","13904","437621","07/20/2023","842508","False"
"8448-049-057","2352 CALLE ADRIANA, SAN DIMAS CA 91773-3982","Single Family Residence","CURRENT","1988","2","2","1404","9723","800000","11/04/2025","800000","False"
"8448-049-058","2314 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1620","4796","548842","01/21/2011","420004","False"
"8448-049-059","2320 CALLE SABINA, SAN DIMAS CA 91773-3957","Single Family Residence","CURRENT","1988","3","3","1620","3985","524418","12/23/2002","355003","False"
